,sodium,fat,protein,calories
207,618.0,30.0,15.0,514.0
208,127.0,25.0,46.0,417.0
209,202.0,26.0,8.0,303.0
210,,,,
211,21.0,2.0,3.0,138.0
212,,,,
213,174.0,34.0,8.0,553.0
214,136.0,29.0,19.0,454.0
215,,,,
216,19.0,20.0,4.0,311.0
217,864.0,21.0,14.0,495.0
218,450.0,12.0,12.0,264.0
219,97.0,5.0,2.0,66.0
220,,,,
221,,,,
222,792.0,2.0,2.0,279.0
223,24.0,5.0,8.0,82.0
224,222.0,10.0,38.0,318.0
225,2.0,1.0,2.0,140.0
226,141.0,15.0,7.0,277.0
227,418.0,15.0,16.0,345.0
228,,,,
229,14.0,1.0,2.0,172.0
230,110.0,26.0,27.0,375.0
231,637.0,21.0,15.0,369.0
232,80.0,12.0,7.0,262.0
233,74.0,16.0,2.0,240.0
234,116.0,11.0,5.0,136.0
235,272.0,6.0,28.0,188.0
236,273.0,12.0,4.0,273.0
237,234.0,16.0,0.0,142.0
238,396.0,21.0,2.0,234.0
239,,,,
240,405.0,15.0,17.0,245.0
241,8.0,7.0,1.0,240.0
242,30.0,13.0,2.0,147.0
243,1611.0,55.0,43.0,731.0
244,1118.0,42.0,118.0,966.0
245,7.0,27.0,2.0,313.0
246,2975.0,50.0,160.0,1153.0
247,1183.0,33.0,21.0,640.0
248,139.0,4.0,6.0,352.0
249,123.0,11.0,33.0,250.0
250,150.0,21.0,5.0,463.0
251,89.0,7.0,3.0,347.0
252,693.0,26.0,12.0,333.0
253,1251.0,45.0,29.0,695.0
254,,,,
255,11779.0,70.0,120.0,1296.0
256,1050.0,22.0,12.0,411.0
257,217.0,1.0,2.0,73.0
258,37.0,36.0,3.0,354.0
259,160.0,17.0,9.0,219.0
260,2397.0,10.0,28.0,225.0
261,,,,
262,,,,
263,11298.0,5.0,4.0,93.0
264,486.0,3.0,8.0,200.0
265,129.0,5.0,6.0,213.0
266,4.0,6.0,4.0,280.0
267,,,,
268,15.0,3.0,10.0,272.0
269,435.0,7.0,5.0,386.0
270,2708.0,43.0,27.0,731.0
271,3.0,7.0,5.0,173.0
272,284.0,53.0,57.0,906.0
273,146.0,6.0,2.0,84.0
274,89.0,15.0,4.0,254.0
275,1006.0,26.0,45.0,787.0
276,172.0,16.0,19.0,228.0
277,119.0,0.0,4.0,179.0
278,779.0,40.0,32.0,593.0
279,,,,
280,865.0,28.0,56.0,885.0
281,1301.0,2.0,45.0,209.0
282,1000.0,235.0,109.0,2894.0
283,305.0,18.0,9.0,234.0
284,23.0,20.0,4.0,331.0
285,0.0,,,0.0
286,,,,
287,380.0,75.0,50.0,944.0
288,,,,
289,,,,
290,,,,
291,,,,
292,75.0,1.0,2.0,22.0
293,172.0,15.0,0.0,143.0
294,976.0,12.0,30.0,412.0
295,15.0,14.0,4.0,282.0
296,1528.0,3.0,9.0,145.0
297,1730.0,114.0,105.0,1630.0
298,656.0,19.0,12.0,392.0
299,202.0,23.0,10.0,500.0
